J,parity,state,v,observed_cm,input_weight,previous_cm,final_cm,delta_cm,rank_changed
0.0,-,2,0,632.72979,25.0,632.726213045985,632.726215003201,1.9572159999370342e-06,False
0.0,-,2,1,2250.7145,1.0,2250.679637364796,2250.679636993282,-3.7151357901166193e-07,False
0.0,-,2,2,3845.34962,0.25,3845.380043760666,3845.380043537815,-2.2285121303866617e-07,False
0.0,-,2,3,5416.66979,0.01,5416.653669590858,5416.653667874259,-1.716599399514962e-06,False
0.0,-,2,4,6964.70287,0.01,6964.605369449368,6964.605365007343,-4.442024874151684e-06,False
0.0,-,2,5,8488.62283,0.01,8489.256801319747,8489.256791332262,-9.987485100282356e-06,False
0.0,-,5,0,9280.83461,36.0,9280.844644031084,9280.844708230154,6.419907003873959e-05,False
0.0,-,5,1,11312.66782,0.64,11312.591630147059,11312.591577341358,-5.280570076138247e-05,False
0.0,-,2,7,11468.54981,0.04,11468.6713918318,11468.671442116025,5.0284224926144816e-05,False
0.0,-,2,8,12923.12313,0.01,12923.091781839525,12923.091749284462,-3.255506271671038e-05,False
0.0,-,5,2,13315.61059,0.09,13315.850499258748,13315.850564867926,6.560917790920939e-05,False
0.0,-,2,9,14354.35296,0.0004,14354.35576114802,14354.355761086745,-6.127447704784572e-08,False
0.0,-,5,3,15288.57986,0.36,15288.534043688054,15288.534044088088,4.000339686172083e-07,False
0.0,-,2,10,15762.29387,0.0003,15762.359753358498,15762.359766686952,1.3328453860594891e-05,False
0.0,-,2,11,17147.09864,0.0011,17146.86356928203,17146.86354989109,-1.939093999681063e-05,False
0.0,-,5,5,19139.89474,0.09,19139.847007726512,19139.847023280247,1.5553734556306154e-05,False
0.0,-,5,6,21015.17311,0.01,21015.064563842745,21015.06454158484,-2.225790376542136e-05,False
0.0,-,5,7,22854.43567,0.04,22854.354658145643,22854.35467340143,1.525578772998415e-05,False
1.0,+,4,0,6250.45902,196.0,6250.348026943042,6250.348026811945,-1.310972947976552e-07,False
1.0,+,4,1,7698.5526,2.25,7698.443242269267,7698.443242052295,-2.1697178453905508e-07,False
1.0,+,4,2,9124.48029,1.69,9124.416332138248,9124.416332026012,-1.1223528417758644e-07,False
1.0,+,4,3,10528.32009,0.25,10528.248776910583,10528.248776663539,-2.4704422685317695e-07,False
1.0,+,4,5,13270.0052,0.01,13269.867207889463,13269.867207708825,-1.8063838069792837e-07,False
1.0,+,4,6,14608.14077,0.01,14607.871145333642,14607.871145086705,-2.4693690647836775e-07,False
1.0,+,6,0,19998.25343,81.0,19998.261438794372,19998.261439038408,2.440356183797121e-07,False
1.0,+,6,0,20014.51376,100.0,20014.48641356028,20014.486421342663,7.782382454024628e-06,False
1.0,+,6,1,21751.86956,1.21,21751.90830806021,21751.9083079827,-7.751077646389604e-08,False
1.0,+,6,1,21767.9799,1.0,21767.99273419504,21767.992735469044,1.2740056263282895e-06,False
1.0,+,6,2,23468.13674,0.64,23468.155281494623,23468.15528049971,-9.949108061846346e-07,False
1.0,+,6,2,23484.07313,0.64,23484.073058088747,23484.073028420473,-2.9668273782590404e-05,False
