state,r_angstrom,supplied_cm,refined_cm
1,0.85,109937.9956701963,109928.56791571689
1,0.8521267723102586,108411.17980013767,108407.31273494796
1,0.8542535446205171,106865.5035732106,106866.24009823462
1,0.8563803169307757,105307.9136846751,105312.26695476034
1,0.8585070892410341,103744.9550796726,103752.04859184848
1,0.8606338615512927,102182.13136548524,102191.25112684561
1,0.8627606338615512,100623.77255630856,100634.36435536719
1,0.8648874061718098,99073.16004980807,99084.80409536225
1,0.8670141784820684,97532.73157735645,97545.11304701521
1,0.8691409507923269,96004.28021064348,96017.16334253612
1,0.8712677231025855,94489.11822465781,94502.32587992394
1,0.873394495412844,92988.20257062459,93001.60090077379
1,0.8755212677231026,91502.22775440424,91515.71495741367
1,0.877648040033361,90031.69360969469,90045.19175267222
1,0.8797748123436196,88576.95457215531,88590.4036455315
1,0.8819015846538782,87138.25559033954,87151.60916560877
1,0.8840283569641367,85715.75845138879,85728.98048766307
1,0.8861551292743953,84309.56123067683,84322.62370626976
1,0.8882819015846538,82919.7127879665,82932.593927798
1,0.8904086738949124,81546.22367143258,81558.90660791265
1,0.892535446205171,80189.07439600561,80201.54614793531
1,0.8946622185154295,78848.22178584134,78860.4724726918
1,0.8967889908256881,77523.60387673031,77535.62610870566
1,0.8989157631359466,76215.14373766421,76226.93213821511
1,0.9010425354462052,74922.75247399841,74934.30330301118
1,0.9031693077564636,73646.33160559907,73657.64245975701
1,0.9052960800667222,72385.77496369668,72396.84453648138
1,0.9074228523769808,71140.9702141644,71151.79810230988
1,0.9095496246872393,69911.80008861156,69922.3866350114
1,0.9116763969974979,68698.1433852863,68708.48955071115
1,0.9138031693077564,67499.87578736585,67509.98304510742
1,0.915929941618015,66316.8705354184,66326.74078429549
1,0.9180567139282736,65148.998982680394,65158.6344748429
1,0.9201834862385321,63996.13105559974,64005.53433632897
1,0.9223102585487907,62858.13563736031,62867.30949464817
1,0.9244370308590492,61734.88088845115,61743.82831059449
1,0.9265638031693078,60626.23451550975,60634.95865530622
1,0.9286905754795662,59532.06399746012,59540.56814186967
1,0.9308173477898248,58452.23677622759,58460.5243205775
1,0.9329441201000834,57386.62041794213,57394.69484392859
1,0.9350708924103419,56335.08274945159,56342.947606324524
1,0.9371976647206005,55297.49197409648,55305.15086252585
1,0.939324437030859,54273.716770000225,54281.17332820872
1,0.9414512093411176,53263.626373563995,53270.884265383254
1,0.9435779816513761,52267.09065040119,52274.15355496516
1,0.9457047539616347,51283.980155572506,51290.85175840965
1,0.9478315262718933,50314.16618468074,50320.85017000536
1,0.9499582985821518,49357.52081713393,49364.02086116794
1,0.9520850708924103,48413.91695268,48420.2367178634
1,0.9542118432026688,47483.22834214715,47489.371472116436
1,0.9563386155129274,46565.3296131799,46571.29972841271
1,0.9584653878231859,45660.09629164755,45665.89698568554
1,0.9605921601334445,44767.40481929707,44773.03965547364
1,0.9627189324437031,43887.13256814725,43892.60507675493
1,0.9648457047539616,43019.15785204349,43024.471527886795
1,0.9669724770642202,42163.359935739805,42168.51823602595
1,0.9690992493744787,41319.619041822065,41324.62538434849
1,0.9712260216847373,40487.816355743744,40492.674117347095
1,0.9733527939949957,39667.83402921159,39672.546544447
1,0.9754795663052543,38859.555182124794,38864.125742148884
1,0.9776063386155129,38062.863903247955,38067.29575488213
1,0.9797331109257714,37277.64524977303,37281.9415947262
1,0.98185988323603,36503.78524590691,36507.94924014002
1,0.9839866555462886,35741.170880605,35745.20563382142
1,0.9861134278565471,34989.6901045551,34993.59867980312
1,0.9882402001668056,34249.23182650475,34253.01723987955
1,0.9903669724770642,33519.68590901329,33523.35112944806
1,0.9924937447873228,32800.9431637009,32804.4911128372
1,0.9946205170975813,32092.895346057798,32096.32889818676
1,0.9967472894078399,31395.435149870355,31398.75713193718
1,0.9988740617180984,30708.45620131432,30711.669392979293
1,1.001000834028357,30031.85305275864,30034.960186508986
1,1.0031276063386154,29365.52117632053,29368.524937627164
1,1.0052543786488741,28709.35695720574,28712.25998472095
1,1.0073811509591326,28063.257686866564,28066.062572657596
1,1.009507923269391,27427.12155600396,27429.830845819244
1,1.0116346955796498,26800.847647440227,26803.46384100448
1,1.0137614678899083,26184.335928883724,26186.86148021899
1,1.0158882402001668,25577.487245605254,25579.92456337512
1,1.0180150125104253,24980.203313044723,24982.55476091909
1,1.020141784820684,24392.386709363425,24394.654606401782
1,1.0222685571309424,23813.940867956706,23816.12748900767
1,1.024395329441201,23244.770069938884,23246.8776460543
1,1.0265221017514596,22684.77943661322,22686.81015547501
1,1.0286488740617181,22133.87492193635,22135.830928294865
1,1.0307756463719766,21591.96330498615,21593.846701108305
1,1.032902418682235,21058.952182442255,21060.765028568618
1,1.0350291909924938,20534.749961085778,20536.494275895
1,1.0371559633027523,20019.265850325333,20020.943611405368
1,1.0392827356130108,19512.40985475472,19514.022999079592
1,1.0414095079232695,19014.09276674835,19015.643191159706
1,1.043536280233528,18524.226159098595,18525.715720791326
1,1.0456630525437864,18042.722377699134,18044.152894710227
1,1.047789824854045,17569.494534278652,17570.867785978793
1,1.0499165971643036,17104.456499187596,17105.77422677471
1,1.0520433694745621,16647.52289424147,16648.786801235954
1,1.0541701417848206,16198.609085622524,16199.820838363388
1,1.0562969140950793,15757.631176843024,15758.792404984646
1,1.0584236864053378,15324.506001771555,15325.618298780668
1,1.0605504587155963,14899.151117723946,14900.216041376278
1,1.0626772310258548,14481.484798620797,14482.503871497327
1,1.0648040033361135,14071.426028212683,14072.4007381948
1,1.066930775646372,13668.894493374064,13669.826294137714
1,1.0690575479566304,13273.810577466576,13274.700888974981
1,1.0711843202668891,12886.095353773226,12886.945562767736
1,1.0733110925771476,12505.670579003363,12506.482039492523
1,1.0754378648874061,12132.45868686884,12133.23272061538
1,1.0775646371976646,11766.382781732558,11767.120678737867
1,1.0796914095079233,11407.36663232855,11408.069651314849
1,1.0818181818181818,11055.334665554705,11056.00403444443
1,1.0839449541284403,10710.211960337108,10710.848876729591
1,1.086071726438699,10371.924241567076,10372.529873212166
1,1.0881984987489575,10040.397874110038,10040.973359378737
1,1.090325271059216,9715.559856885959,9716.106305237852
1,1.0924520433694744,9397.337817021653,9397.856309469029
1,1.0945788156797331,9085.660004074098,9086.151593642693
1,1.0967055879899916,8780.455284324773,8780.920996511044
1,1.09883236030025,8481.65313514399,8482.093968368818
1,1.1009591326105088,8189.183639425417,8189.600565484188
1,1.1030859049207673,7902.977480090136,7903.3714445991045
1,1.1052126772310258,7622.965934658896,7623.337857497825
1,1.1073394495412843,7349.0808698932615,7349.431645644183
1,1.109466221851543,7081.254736503866,7081.585234886023
1,1.1115929941618015,6819.420563925911,6819.731630226761
1,1.11371976647206,6563.511955160595,6563.80441066286
1,1.1158465387823187,6313.463081682326,6313.737724087066
1,1.1179733110925771,6069.208678410729,6069.4662822563405
1,1.1201000834028356,5830.684038746529,5830.9253558237215
