J,parity,original_rank,observed_cm,state,v,Lambda,Sigma,Omega,input_weight,calculated_cm,residual_cm,matched_rank,calculated_state,calculated_v,calculated_Lambda,calculated_Sigma,calculated_Omega,assignment_matches,mark,duo_weight
0.0,-,12,13315.61059,5,2,0.0,0.0,0.0,0.09,13315.8603,-0.24971000000005006,12,5,2,0.0,0.0,0.0,True,,4.8e-07
0.0,-,13,14354.35296,2,9,-1.0,1.0,0.0,0.0004,14354.3022,0.05076000000008207,13,2,9,-1.0,1.0,0.0,True,,2.2e-09
0.0,-,14,15288.57986,5,3,0.0,0.0,0.0,0.36,15288.5543,0.025560000000041327,14,5,3,0.0,0.0,0.0,True,,1.9e-06
0.0,-,15,15762.29387,2,10,-1.0,1.0,0.0,0.0003,15762.2867,0.007169999998950516,15,2,10,-1.0,1.0,0.0,True,,1.6e-09
0.0,-,16,17147.09864,2,11,-1.0,1.0,0.0,0.0011,17146.7821,0.3165399999998044,16,2,11,-1.0,1.0,0.0,True,,5.9e-09
0.0,-,19,19139.89474,5,5,0.0,0.0,0.0,0.09,19139.8679,0.026839999998628628,19,5,5,0.0,0.0,0.0,True,,4.8e-07
0.0,-,22,21015.17311,5,6,0.0,0.0,0.0,0.01,21015.0827,0.09041000000070198,22,5,6,0.0,0.0,0.0,True,,5.4e-08
0.0,-,26,22854.43567,5,7,0.0,0.0,0.0,0.04,22854.3542,0.08146999999735272,26,5,7,0.0,0.0,0.0,True,,2.2e-07
1.0,+,9,6250.45902,4,0,0.0,1.0,1.0,196.0,6250.3026,0.1564200000002529,9,4,0,0.0,1.0,1.0,True,,0.0011
1.0,+,12,7698.5526,4,1,0.0,1.0,1.0,2.25,7698.4062,0.14639999999963038,12,4,1,0.0,1.0,1.0,True,,1.2e-05
1.0,+,16,9124.48029,4,2,0.0,1.0,1.0,1.69,9124.3869,0.09338999999999942,16,4,2,0.0,1.0,1.0,True,,9.1e-06
1.0,+,22,10528.32009,4,3,0.0,1.0,1.0,0.25,10528.2251,0.09498999999959779,22,4,3,0.0,1.0,1.0,True,,1.3e-06
1.0,+,32,13270.0052,4,5,0.0,1.0,1.0,0.01,13269.8515,0.1536999999989348,32,4,5,0.0,1.0,1.0,True,,5.4e-08
1.0,+,38,14608.14077,4,6,0.0,1.0,1.0,0.01,14607.8598,0.28096999999979744,38,4,6,0.0,1.0,1.0,True,,5.4e-08
1.0,+,60,19998.25343,6,0,1.0,0.0,1.0,81.0,19998.267,-0.013569999999162974,60,6,0,1.0,0.0,1.0,True,,0.00044
1.0,+,61,20014.51376,6,0,1.0,-1.0,0.0,100.0,20014.5074,0.006360000003041932,61,6,0,1.0,-1.0,0.0,True,,0.00054
1.0,+,69,21751.86956,6,1,1.0,0.0,1.0,1.21,21751.9131,-0.04354000000239466,69,6,1,1.0,0.0,1.0,True,,6.5e-06
1.0,+,70,21767.9799,6,1,1.0,-1.0,0.0,1.0,21767.9988,-0.018900000002759043,70,6,1,1.0,-1.0,0.0,True,,5.4e-06
1.0,+,78,23468.13674,6,2,1.0,0.0,1.0,0.64,23468.169,-0.032259999999951106,78,6,2,1.0,0.0,1.0,True,,3.4e-06
1.0,+,79,23484.07313,6,2,1.0,-1.0,0.0,0.64,23484.0661,0.007030000000668224,79,6,2,1.0,-1.0,0.0,True,,3.4e-06
1.0,+,88,25143.74997,6,3,1.0,0.0,1.0,4.41,25143.7913,-0.0413300000000163,88,6,3,1.0,0.0,1.0,True,,2.4e-05
1.0,+,89,25159.49283,6,3,1.0,-1.0,0.0,5.76,25159.4942,-0.001370000001770677,89,6,3,1.0,-1.0,0.0,True,,3.1e-05
1.0,+,96,26774.53013,6,4,1.0,0.0,1.0,0.49,26774.4954,0.0347299999993993,96,6,4,1.0,0.0,1.0,True,,2.6e-06
1.0,+,97,26790.04113,6,4,1.0,-1.0,0.0,0.25,26790.044,-0.002870000000257278,97,6,4,1.0,-1.0,0.0,True,,1.3e-06
1.0,+,106,28355.03644,6,5,1.0,0.0,1.0,5.76,28355.0883,-0.05185999999957858,106,6,5,1.0,0.0,1.0,True,,3.1e-05
1.0,+,107,28370.28187,6,5,1.0,-1.0,0.0,3.24,28370.2766,0.005269999997835839,107,6,5,1.0,-1.0,0.0,True,,1.7e-05
1.0,+,116,29876.88517,6,6,1.0,0.0,1.0,0.09,29878.5589,-1.6737299999986135,116,6,6,1.0,0.0,1.0,True,,4.8e-07
