J,parity,original_rank,observed_cm,state,v,Lambda,Sigma,Omega,input_weight,calculated_cm,residual_cm,matched_rank,calculated_state,calculated_v,calculated_Lambda,calculated_Sigma,calculated_Omega,assignment_matches,mark,duo_weight
37.0,+,122,27488.05536,6,3,1.0,1.0,2.0,0.04,27490.127312263732,-2.0719522637336922,122,6,3,1.0,-1.0,0.0,False,,2.2e-07
37.0,+,124,27613.95247,6,3,1.0,-1.0,0.0,0.01,27614.930554451275,-0.9780844512752083,125,6,3,1.0,1.0,2.0,False,,5.4e-08
37.0,+,151,30738.78574,6,5,1.0,1.0,2.0,0.0,30747.147112294708,-8.361372294708417,151,6,5,1.0,1.0,2.0,True,*,0.0
39.0,+,122,27743.63624,6,3,1.0,1.0,2.0,0.01,27744.815314881067,-1.1790748810672085,122,6,3,1.0,-1.0,0.0,False,,5.4e-08
42.0,+,174,29867.03106,6,4,1.0,1.0,2.0,0.0,29879.674939061933,-12.643879061932239,174,2,20,1.0,0.0,1.0,False,*,0.0
51.0,+,85,24575.12502,6,0,1.0,1.0,2.0,36.0,24575.910446877962,-0.785426877962891,85,6,0,1.0,-1.0,0.0,False,,0.00019
51.0,+,87,24751.05694,6,0,1.0,-1.0,0.0,16.0,24750.96054380781,0.09639619218796724,87,6,0,1.0,1.0,2.0,False,,8.6e-05
57.0,+,87,25689.78073,6,0,1.0,1.0,2.0,16.0,25689.8073667905,-0.02663679050237988,87,6,0,1.0,-1.0,0.0,False,,8.6e-05
57.0,+,89,25885.252,6,0,1.0,-1.0,0.0,9.0,25885.104794424136,0.14720557586406358,89,6,0,1.0,1.0,2.0,False,,4.8e-05
59.0,+,87,26087.37641,6,0,1.0,1.0,2.0,9.0,26087.378356524343,-0.001946524342201883,87,6,0,1.0,-1.0,0.0,False,,4.8e-05
59.0,+,89,26289.10376,6,0,1.0,-1.0,0.0,16.0,26288.940065140596,0.1636948594059504,89,6,0,1.0,1.0,2.0,False,,8.6e-05
61.0,+,88,26497.75407,6,0,1.0,1.0,2.0,9.0,26497.75410315824,-3.315824142191559e-05,88,6,0,1.0,-1.0,0.0,False,,4.8e-05
61.0,+,89,26705.71229,6,0,1.0,-1.0,0.0,16.0,26705.54026565946,0.17202434053979232,89,6,0,1.0,1.0,2.0,False,,8.6e-05
63.0,+,88,26920.89975,6,0,1.0,1.0,2.0,4.0,26920.85285012665,0.046899873352231225,88,6,0,1.0,-1.0,0.0,False,,2.2e-05
63.0,+,89,27135.00737,6,0,1.0,-1.0,0.0,16.0,27134.824339419472,0.18303058052697452,89,6,0,1.0,1.0,2.0,False,,8.6e-05
65.0,+,88,27357.61776,6,0,1.0,1.0,2.0,9.0,27356.58914709449,1.0286129055093625,88,6,0,1.0,-1.0,0.0,False,,4.8e-05
65.0,+,89,27576.87667,6,0,1.0,-1.0,0.0,9.0,27576.708320299294,0.16834970070704003,89,6,0,1.0,1.0,2.0,False,,4.8e-05
67.0,+,88,27805.94656,6,0,1.0,1.0,2.0,16.0,27804.866747668962,1.0798123310378287,88,6,0,1.0,-1.0,0.0,False,,8.6e-05
67.0,+,90,28031.28266,6,0,1.0,-1.0,0.0,9.0,28031.10507880715,0.17758119284917484,90,6,0,1.0,1.0,2.0,False,,4.8e-05
69.0,+,88,28265.65955,6,0,1.0,1.0,2.0,1.0,28265.34125517104,0.3182948289613705,88,6,0,1.0,-1.0,0.0,False,,5.4e-06
69.0,+,90,28498.09166,6,0,1.0,-1.0,0.0,4.0,28497.896666066456,0.19499393354271888,90,6,0,1.0,1.0,2.0,False,,2.2e-05
71.0,+,89,28738.99455,6,0,1.0,1.0,2.0,4.0,28738.897618900242,0.09693109975705738,89,6,0,1.0,-1.0,0.0,False,,2.2e-05
73.0,+,89,29224.46155,6,0,1.0,1.0,2.0,4.0,29224.144505812328,0.31704418767185416,89,6,0,1.0,-1.0,0.0,False,,2.2e-05
75.0,+,91,29722.12455,6,0,1.0,1.0,2.0,4.0,29721.93898153953,0.18556846047067665,91,6,0,1.0,-1.0,0.0,False,,2.2e-05
77.0,+,91,30231.87455,6,0,1.0,1.0,2.0,4.0,30231.633336706072,0.24121329392801272,91,6,0,1.0,-1.0,0.0,False,,2.2e-05
79.0,+,92,30753.60655,6,0,1.0,1.0,2.0,4.0,30753.32419132446,0.28235867554030847,92,6,0,1.0,-1.0,0.0,False,,2.2e-05
81.0,+,93,31287.22355,6,0,1.0,1.0,2.0,4.0,31286.89813356391,0.3254164360878349,93,6,0,1.0,-1.0,0.0,False,,2.2e-05
83.0,+,93,31832.80855,6,0,1.0,1.0,2.0,4.0,31832.23584555211,0.5727044478917378,93,6,0,1.0,-1.0,0.0,False,,2.2e-05
85.0,+,93,32390.09955,6,0,1.0,1.0,2.0,4.0,32389.630894852544,0.4686551474551379,94,6,0,1.0,-1.0,0.0,False,,2.2e-05
87.0,+,94,32958.81255,6,0,1.0,1.0,2.0,1.0,32957.89712929091,0.9154207090905402,94,6,0,1.0,-1.0,0.0,False,,5.4e-06
