stage,positive_weight_count,weighted_rms_cm,rms_cm,max_abs_cm,marked_count
"As supplied, J≤35",3520,0.3358277905271951,7.246298298867528,111.86290000000008,4
"As supplied, J≤87",4730,7.164993093302583,16.727295361878337,267.5612500000025,7
"Relaxed Ω matching, unchanged curves",4730,0.1739113346485936,0.9935840354528748,53.280799999998635,10
"Duplicate corrected, unchanged curves",4729,0.09091178415864215,0.6221838497680631,13.470590000000811,9
"Refined, original numerical basis",4729,0.07791293150942848,0.593906580389719,13.31818999999814,9
"Refined, final numerical basis",4729,0.07791172294428497,0.593890460214084,13.318411574950005,9
