source_index,J,parity,original_rank,observed_cm,state,v,Lambda,Sigma,Omega,input_weight,calculated_cm,residual_cm,ef
906,14.0,-,3,45646.1294,2,2,-1.0,0.0,-1.0,1.0,45634.34422366739,11.785176332610718,f
1754,78.0,+,32,48070.8294,2,1,-1.0,0.0,-1.0,1.0,48078.73589925432,-7.906499254320806,e
1792,82.0,+,31,47660.6394,2,0,-1.0,0.0,-1.0,1.0,47668.51856369869,-7.879163698693446,e
1441,52.0,+,35,48491.2594,2,4,-1.0,0.0,-1.0,1.0,48497.25878533662,-5.999385336617706,e
1751,77.0,-,36,50891.9394,2,5,-1.0,0.0,-1.0,1.0,50897.79440440084,-5.8550044008370605,e
821,8.0,+,31,43984.0694,2,0,-1.0,0.0,-1.0,1.0,43989.11747722513,-5.048077225132147,e
984,19.0,+,7,48706.2494,2,6,-1.0,0.0,-1.0,1.0,48705.19183983799,1.0575601620075759,f
