      0.7000000000  9.30760651728703E+05  3.48487527481500E+07
      0.7073000000  9.01281267451698E+05  3.24697648085039E+07
      0.7146000000  8.72610436713628E+05  3.02355753965451E+07
      0.7219000000  8.44727849830492E+05  2.81384603010437E+07
      0.7292000000  8.17613731466636E+05  2.61710698751241E+07
      0.7365000000  7.91248826041212E+05  2.43264095807708E+07
      0.7438000000  7.65614383436362E+05  2.25978217607106E+07
      0.7511000000  7.40692145000612E+05  2.09789685668639E+07
      0.7584000000  7.16464329841282E+05  1.94638159769546E+07
      0.7657000000  6.92913621400135E+05  1.80466188331523E+07
      0.7730000000  6.70023154306822E+05  1.67219068387893E+07
      0.7803000000  6.47776501505052E+05  1.54844714512861E+07
      0.7876000000  6.26157661646797E+05  1.43293536114696E+07
      0.7949000000  6.05151046750219E+05  1.32518322514825E+07
      0.8022000000  5.84741470117390E+05  1.22474135255023E+07
      0.8095000000  5.64914134508262E+05  1.13118207095283E+07
      0.8168000000  5.45654620567737E+05  1.04409847185680E+07
      0.8241000000  5.26948875503052E+05  9.63103519168684E+06
      0.8314000000  5.08783202009103E+05  8.87829209758017E+06
      0.8387000000  4.91144247439706E+05  8.17925781559689E+06
      0.8460000000  4.74018993223159E+05  7.53060964949429E+06
      0.8533000000  4.57394744520852E+05  6.92919273363025E+06
      0.8606000000  4.41259120128012E+05  6.37201329380536E+06
      0.8679000000  4.25600042616051E+05  5.85623222753993E+06
      0.8752000000  4.10405728716265E+05  5.37915897120173E+06
      0.8825000000  3.95664679945008E+05  4.93824562407400E+06
      0.8898000000  3.81365673470705E+05  4.53108130215419E+06
      0.8971000000  3.67497753223377E+05  4.15538669717843E+06
      0.9044000000  3.54050221247586E+05  3.80900881905726E+06
      0.9117000000  3.41012629299914E+05  3.48991590255826E+06
      0.9190000000  3.28374770692303E+05  3.19619246165921E+06
      0.9263000000  3.16126672382696E+05  2.92603447749553E+06
      0.9336000000  3.04258587314586E+05  2.67774470821663E+06
      0.9409000000  2.92760987007086E+05  2.44972811132469E+06
