J,v,quasibound,grid_index,original_rank,expanded_rank,difference_cm
7,8,False,1,9,9,6.184563972055912e-11
7,9,False,1,10,10,-1.2732925824820995e-10
7,10,False,1,11,11,1.1641532182693481e-10
7,11,False,1,12,12,1.7826096154749393e-10
7,12,False,1,13,13,-2.546585164964199e-11
7,13,False,1,14,14,0.0
7,14,False,1,15,15,-2.546585164964199e-11
7,15,False,1,16,16,-1.1641532182693481e-10
7,16,False,1,17,17,7.275957614183426e-11
7,17,False,1,18,18,-2.9103830456733704e-11
8,0,False,1,1,1,-1.9326762412674725e-12
8,1,False,1,2,2,4.092726157978177e-11
8,2,False,1,3,3,-1.0186340659856796e-10
8,3,False,1,4,4,-9.822542779147625e-11
8,4,False,1,5,5,5.638867150992155e-11
8,5,False,1,6,6,7.275957614183426e-11
8,6,False,1,7,7,7.639755494892597e-11
8,7,False,1,8,8,-4.729372449219227e-11
8,8,False,1,9,9,1.4915713109076023e-10
8,9,False,1,10,10,-2.4374458007514477e-10
8,10,False,1,11,11,4.001776687800884e-11
8,11,False,1,12,12,1.5279510989785194e-10
8,12,False,1,13,13,-4.001776687800884e-11
8,13,False,1,14,14,-3.637978807091713e-11
8,14,False,1,15,15,5.820766091346741e-11
8,15,False,1,16,16,-1.0913936421275139e-10
8,16,False,1,17,17,2.1827872842550278e-11
8,17,False,1,18,18,2.9103830456733704e-11
9,0,False,1,1,1,5.991296347929165e-11
9,1,False,1,2,2,1.2005330063402653e-10
9,2,False,1,3,3,-1.3733369996771216e-10
9,3,False,1,4,4,-5.4569682106375694e-12
9,4,False,1,5,5,1.4370016288012266e-10
9,5,False,1,6,6,1.2732925824820995e-10
9,6,False,1,7,7,-4.001776687800884e-11
9,7,False,1,8,8,-1.0913936421275139e-10
9,8,False,1,9,9,6.912159733474255e-11
9,9,False,1,10,10,-1.3460521586239338e-10
9,10,False,1,11,11,1.4915713109076023e-10
9,11,False,1,12,12,1.8917489796876907e-10
9,12,False,1,13,13,-7.275957614183426e-12
9,13,False,1,14,14,-1.0913936421275139e-11
9,14,False,1,15,15,2.1827872842550278e-11
9,15,False,1,16,16,-8.003553375601768e-11
9,16,False,1,17,17,1.0913936421275139e-10
9,17,False,1,18,18,7.275957614183426e-12
10,0,False,1,1,1,3.865352482534945e-12
10,1,False,1,2,2,1.687112671788782e-10
10,2,False,1,3,3,9.822542779147625e-11
10,3,False,1,4,4,-8.549250196665525e-11
10,4,False,1,5,5,6.730260793119669e-11
10,5,False,1,6,6,1.3460521586239338e-10
10,6,False,1,7,7,6.184563972055912e-11
10,7,False,1,8,8,-1.0913936421275139e-10
10,8,False,1,9,9,3.637978807091713e-11
10,9,False,1,10,10,-1.964508555829525e-10
10,10,False,1,11,11,3.2741809263825417e-11
10,11,False,1,12,12,1.709850039333105e-10
10,12,False,1,13,13,-7.275957614183426e-12
10,13,False,1,14,14,-1.8189894035458565e-11
10,14,False,1,15,15,5.093170329928398e-11
10,15,False,1,16,16,-2.9103830456733704e-11
10,16,False,1,17,17,1.0913936421275139e-10
10,17,False,1,18,18,7.275957614183426e-11
11,0,False,1,1,1,-7.685230229981244e-11
11,1,False,1,2,2,1.9463186617940664e-10
11,2,False,1,3,3,-2.3646862246096134e-11
11,3,False,1,4,4,2.1827872842550278e-11
11,4,False,1,5,5,1.3096723705530167e-10
11,5,False,1,6,6,8.731149137020111e-11
11,6,False,1,7,7,-3.637978807091713e-12
11,7,False,1,8,8,-1.1641532182693481e-10
11,8,False,1,9,9,3.637978807091713e-11
11,9,False,1,10,10,-2.4374458007514477e-10
11,10,False,1,11,11,7.275957614183426e-12
11,11,False,1,12,12,2.1100277081131935e-10
11,12,False,1,13,13,-3.637978807091713e-11
11,13,False,1,14,14,2.546585164964199e-11
11,14,False,1,15,15,-1.1641532182693481e-10
11,15,False,1,16,16,-1.3096723705530167e-10
11,16,False,1,17,17,8.003553375601768e-11
11,17,False,1,18,18,4.3655745685100555e-11
12,0,False,1,1,1,2.5011104298755527e-11
12,1,False,1,2,2,1.0186340659856796e-10
12,2,False,1,3,3,-2.191882231272757e-10
12,3,False,1,4,4,-1.1641532182693481e-10
12,4,False,1,5,5,1.291482476517558e-10
12,5,False,1,6,6,6.912159733474255e-11
12,6,False,1,7,7,-3.637978807091713e-11
12,7,False,1,8,8,-2.0372681319713593e-10
12,8,False,1,9,9,-2.1827872842550278e-11
12,9,False,1,10,10,-1.8189894035458565e-10
12,10,False,1,11,11,7.639755494892597e-11
12,11,False,1,12,12,1.4551915228366852e-10
12,12,False,1,13,13,3.637978807091713e-12
12,13,False,1,14,14,4.729372449219227e-11
12,14,False,1,15,15,-1.1641532182693481e-10
12,15,False,1,16,16,0.0
12,16,False,1,17,17,5.093170329928398e-11
12,17,False,1,18,18,1.4551915228366852e-11
13,0,False,1,1,1,-3.5925040720030665e-11
13,1,False,1,2,2,4.638422979041934e-11
13,2,False,1,3,3,-3.2741809263825417e-11
13,3,False,1,4,4,-3.8198777474462986e-11
13,4,False,1,5,5,1.964508555829525e-10
13,5,False,1,6,6,1.7826096154749393e-10
13,6,False,1,7,7,7.275957614183426e-11
13,7,False,1,8,8,-4.729372449219227e-11
13,8,False,1,9,9,4.001776687800884e-11
13,9,False,1,10,10,-1.964508555829525e-10
13,10,False,1,11,11,1.2005330063402653e-10
13,11,False,1,12,12,1.6007106751203537e-10
