v,rank,inner_probability,quasibound,barrier_r_angstrom,barrier_absolute_cm,J,observed_cm,calculated_cm,residual_cm,input_weight,python_duo_delta_cm
2,3,1.0,False,,,1,5687.650087,5687.633395887978,0.016691112022272137,40.824829046386306,-3.183231456205249e-11
3,4,0.9999999999999997,False,,,1,8365.844431,8365.817282853077,0.027148146922627348,35.35533905932737,-1.5825207810848951e-10
4,5,1.0000000000000007,False,,,1,10941.29673,10941.273609150161,0.023120849838960567,31.62277660168379,6.366462912410498e-11
5,6,0.9999999999999997,False,,,1,13414.143813,13414.114292045462,0.029520954538384103,28.867513459481287,2.7284841053187847e-11
6,7,1.0,False,,,1,15784.133072,15784.081501015622,0.05157098437848617,26.726124191242437,1.4733814168721437e-10
7,8,1.0000000000000002,False,,,1,18050.518955,18050.481417074323,0.0375379256765882,24.999999999999993,1.0913936421275139e-11
8,9,0.9999999999999996,False,,,1,20212.114058,20212.08339807895,0.030659921048936667,23.570226039551585,1.4551915228366852e-11
9,10,1.0,False,,,1,22267.018556,22266.992272905758,0.026283094241080107,22.360679774997894,5.4569682106375694e-11
10,11,0.9999999999999997,False,,,1,24212.456851,24212.49671212222,-0.03986112222264637,21.320071635561042,-1.964508555829525e-10
11,12,1.0000000000000004,False,,,1,26044.793945,26044.888988248316,-0.09504324831505073,20.412414523193153,-1.673470251262188e-10
12,13,1.0000000000000002,False,,,1,27759.134452,27759.241006116365,-0.10655411636616918,19.6116135138184,-1.7462298274040222e-10
13,14,0.9999999999999996,False,,,1,29349.034427,29349.106639107926,-0.07221210792704369,18.89822365046136,2.9103830456733704e-11
14,15,1.0,False,,,1,30806.102742,30806.09640892909,0.006333070909022354,18.257418583505533,-6.548361852765083e-11
15,16,1.0000000000000007,False,,,1,32119.29175,32119.22588037668,0.06586962331857649,17.677669529663685,2.2919266484677792e-10
16,17,1.0,False,,,1,33273.960633,33273.84510042079,0.1155325792133226,17.149858514250884,0.0
17,18,0.9999999999999999,False,,,1,34249.904828,34249.73373121658,0.1710967834223993,16.666666666666668,5.093170329928398e-11
0,1,1.0000000000000007,False,5.3571,37188.50934294597,2,62.6222,62.622271775746,-7.177574600092385e-05,57.73502691896258,-4.67963445771602e-11
1,2,0.9999999999999994,False,5.3571,37188.50934294597,2,2946.774715,2946.791844152135,-0.017129152135112236,40.8248290463863,8.640199666842818e-11
2,3,1.0000000000000002,False,5.3571,37188.50934294597,2,5726.971966,5726.956368102858,0.015597897142470174,33.333333333333336,-1.4915713109076023e-10
3,4,1.0000000000000007,False,5.3571,37188.50934294597,2,8403.967261,8403.941769683455,0.025491316544503206,28.86751345948129,-7.275957614183426e-11
4,5,1.0000000000000002,False,5.3571,37188.50934294597,2,10978.22458,10978.203392173293,0.02118782670731889,25.81988897471611,-1.3096723705530167e-10
5,6,1.0000000000000004,False,5.3571,37188.50934294597,2,13449.877122,13449.84951856423,0.027603435770288343,23.57022603955159,1.964508555829525e-10
