r_angstrom,potential_cm
0.5,650734.884718432
0.50575,624327.3002711607
0.5115,599083.3266265446
0.51725,574947.1057268516
0.523,551865.549518676
0.52875,529788.2078388667
0.5345,508667.14168780413
0.54025,488456.8017782408
0.546,469113.9122368282
0.55175,450597.3593263951
0.5575,432868.0850498125
0.56325,415888.9854907187
0.569,399624.813742256
0.57475,384042.08727219654
0.5805,369108.99957114493
0.5862499999999999,354795.3359298793
0.592,341072.3931921248
0.59775,327912.9033300286
0.6035,315290.96069127985
0.60925,303181.9527690189
0.615,291562.49434835964
0.62075,280410.3648864467
0.6265000000000001,269704.44898636144
0.63225,259424.6798288641
0.638,249551.98542984488
0.64375,240068.23759538188
0.6495,230956.20345045635
0.65525,222199.49942160465
0.661,213782.54755805054
0.66675,205690.53408013796
0.6725,197909.37004816174
0.67825,190425.654048917
0.6839999999999999,183226.63680147726
0.68975,176300.1875878138
0.6955,169634.7624179138
0.7012499999999999,163219.37384297542
0.707,157043.56233411148
0.71275,151097.36914771053
0.7185,145371.31060222758
0.7242500000000001,139856.35369466993
0.73,134543.8929884244
0.73575,129425.72870732844
0.7415,124494.04597402128
0.74725,119741.39513362438
0.753,115160.67310668794
0.75875,110745.105718118
0.7645,106488.23095144212
0.77025,102383.88308031653
0.776,98426.17763159741
0.78175,94609.49713661404
0.7875,90928.47762948858
0.79325,87377.9958534514
0.7989999999999999,83953.15713810208
0.8047500000000001,80649.28391247572
0.8105,77461.90482058577
0.8162499999999999,74386.74440783965
0.8220000000000001,71419.7133483627
0.82775,68556.89918482218
0.8335,65794.55755381838
0.83925,63129.10387131783
0.845,60557.10545392862
0.85075,58075.27405308382
0.8565,55680.458780396315
0.86225,53369.63940358055
0.868,51139.919993416144
0.87375,48988.52290324718
0.8795,46912.78306347658
0.88525,44910.14257443238
0.891,42978.14558185189
0.8967499999999999,41114.43342004935
0.9025,39316.74000861491
0.90825,37582.88748923118
0.9139999999999999,35910.78208989184
0.9197500000000001,34298.41020447224
0.9255,32743.834676229526
0.9312499999999999,31245.19127440505
0.937,29800.68535366833
0.94275,28408.588686675914
0.9485,27067.236460524964
0.95425,25775.024428366214
0.96,24530.406207892254
0.96575,23331.89071885423
0.9715,22178.03975216766
0.97725,21067.46566355835
0.983,19998.829185068324
0.98875,18970.83734809273
0.9944999999999999,17982.24151194966
1.0002499999999999,17031.83549230178
1.006,16118.453784046682
1.0117500000000001,15240.969873578058
1.0175,14398.294635588338
1.02325,13589.374809839956
1.029,12813.19155357532
1.0347499999999998,12068.759065465723
1.0405,11355.123277218543
1.0462500000000001,10671.360609169717
1.052,10016.576786385554
1.05775,9389.90571198525
1.0635,8790.508394572957
1.06925,8217.571926836812
1.075,7670.308512532321
1.08075,7147.954539219028
1.0865,6649.769694263971
1.09225,6175.036121761094
1.0979999999999999,5723.057618146286
1.10375,5293.158864409733
1.1095000000000002,4884.684692924414
1.11525,4496.999387019343
1.121,4129.486011531249
1.12675,3781.5457726674827
1.1324999999999998,3452.597405606507
1.13825,3142.0765883516224
1.1440000000000001,2849.435380437672
1.14975,2574.141685170033
1.1555,2315.678734150777
1.16125,2073.5445929182615
1.167,1847.2516865936107
1.17275,1636.3263444916183
1.1785,1440.3083627135813
1.18425,1258.7505837968483
1.19,1091.2184925492156
1.1957499999999999,937.2898272474447
1.2015,796.554205426799
1.20725,668.6127635338186
1.213,553.0778097570407
1.21875,449.5724893907141
1.2245,357.7304621241307
1.2302499999999998,277.1955906850992
1.236,207.6216402994391
1.2417500000000001,148.67198846006355
1.2475,100.01934452885946
1.25325,61.34547872255079
1.259,32.34096005997999
1.26475,12.70490287288829
1.2705,2.144721505486683
1.27625,0.3758928498394846
1.282,7.121726384529831
1.28775,22.113141403090886
1.2934999999999999,45.088451135866656
1.29925,75.79315348431788
1.305,113.97972810137166
1.31075,159.40743956544662
1.3165,211.84214640914539
1.32225,271.056115776596
1.3279999999999998,336.8278434957995
1.33375,408.94187936443217
1.3395000000000001,487.1886574591005
1.34525,571.3643312892317
1.351,661.2706136274213
1.35675,756.7146208582204
1.3624999999999998,857.5087216970404
1.36825,963.4703901398959
1.374,1074.4220625132252
1.37975,1190.1909985010084
1.3855,1310.6091460337034
1.3912499999999999,1435.5130099302382
1.397,1564.7435241905239
1.40275,1698.1459278414527
1.4085,1835.5696442444594
1.41425,1976.86816377702
1.42,2121.898929804676
1.4257499999999999,2270.523227863378
1.4315,2422.606077975202
1.4372500000000001,2578.01613002293
1.443,2736.625562111358
1.44875,2898.3099818450046
1.4545,3062.948330453484
1.4602499999999998,3230.422789697183
1.466,3400.6186914869395
1.4717500000000001,3573.424430152331
1.4775,3748.7313772939533
1.48325,3926.4337991556254
1.4889999999999999,4106.428776453002
1.49475,4288.616126595555
