r_angstrom,bob_dimensionless
0.5,0.038850529792855366
0.50575,0.03881120188875245
0.5115,0.038747711237541796
0.51725,0.03865999085003445
0.523,0.03854801652681018
0.52875,0.03841180745762055
0.5345,0.03825142670726227
0.54025,0.03806698158413895
0.546,0.037858623888079666
0.55175,0.037626550034357616
0.5575,0.037371001051246994
0.56325,0.03709226244887194
0.569,0.03679066395753872
0.57475,0.036466579134194876
0.5805,0.036120424836131336
0.5862499999999999,0.035752660561528066
0.592,0.035363787656943986
0.59775,0.03495434839236303
0.6035,0.03452492490492763
0.60925,0.03407613801302057
0.615,0.033608645902887486
0.62075,0.033123142690531515
0.6265000000000001,0.03262035686214657
0.63225,0.03210104959689311
0.638,0.03156601297635078
0.64375,0.031016068085508566
0.6495,0.03045206301066758
0.65525,0.029874870740136006
0.661,0.029285386974084955
0.66675,0.028684527850405758
0.6725,0.02807322759386077
0.67825,0.027452436096249595
0.6839999999999999,0.026823116435716395
0.68975,0.02618624234369851
0.6955,0.025542795628364326
0.7012499999999999,0.024893763563697855
0.707,0.02424013625366578
0.71275,0.02358290398114094
0.7185,0.022923054551454908
0.7242500000000001,0.0222615706406082
0.73,0.021599427158280785
0.73575,0.020937588635849522
0.7415,0.0202770066496406
0.74725,0.019618617289614185
0.753,0.01896333868359849
0.75875,0.0183120685870613
0.7645,0.01766568204822374
0.77025,0.01702502915808778
0.776,0.016390932894663368
0.78175,0.015764187070342963
0.7875,0.015145554390983288
0.79325,0.014535764634814326
0.7989999999999999,0.013935512958808054
0.8047500000000001,0.01334545833960317
0.8105,0.012766222155501019
0.8162499999999999,0.012198386915422464
0.8220000000000001,0.011642495140050616
0.82775,0.011099048399679939
0.8335,0.01056850651255428
0.83925,0.010051286906708059
0.845,0.009547764147527877
0.85075,0.009058269632434116
0.8565,0.008583091453245359
0.86225,0.008122474425938626
0.868,0.007676620286661344
0.87375,0.007245688051990255
0.8795,0.006829794540575659
0.88525,0.0064290150524602034
0.891,0.0060433842015277265
0.8967499999999999,0.005672896895723068
0.9025,0.005317509458896168
0.90825,0.004977140887367906
0.9139999999999999,0.004651674233596528
0.9197500000000001,0.004340958108648977
0.9255,0.0040448082945552565
